s0,s10,s90,s90d
90,115,66,248
106,158,249,248
73,52,53,160
110,250,249,248
40,65,249,248
62,58,20,43
78,52,55,169
251,252,249,248
148,252,249,248
133,251,249,248
69,50,56,141
30,63,249,248
79,62,249,248
110,145,249,248
87,124,249,248
78,51,74,248
122,141,249,248
54,78,249,248
73,46,98,144
164,117,249,248
75,115,249,248
75,50,49,142
185,186,249,248
65,65,249,248
55,132,249,248
75,44,42,154
73,149,249,248
134,95,249,248
61,23,24,44
74,50,40,176
251,166,249,248
72,45,79,197
76,49,62,165
252,217,249,248
119,206,249,248
77,49,86,248
41,141,249,248
162,150,249,248
112,141,249,248
74,44,74,185
166,129,249,248
86,116,249,248
72,50,73,248
251,190,249,248
105,167,249,248
70,48,89,203
250,167,249,248
20,149,249,248
22,149,249,248
67,137,249,248
76,54,73,184
248,252,249,248
123,251,249,248
75,50,63,143
252,215,249,248
82,188,249,248
73,50,73,182
250,252,249,248
140,251,249,248
134,249,249,248
14,17,249,38
78,47,20,103
104,252,249,248
75,50,54,189
113,250,249,248
76,48,49,150
45,116,249,248
181,138,249,248
74,53,69,168
252,252,249,248
252,251,249,248
85,86,166,128
74,53,65,180
251,203,249,248
60,177,249,248
71,77,117,108
76,49,49,155
250,252,249,248
251,251,249,248
76,55,66,182
252,252,249,248
252,251,249,248
76,52,67,191
73,53,58,142
123,252,249,248
79,54,12,116
102,252,249,248
78,51,63,138
116,252,249,248
104,40,106,43
74,48,26,94
127,252,249,248
74,47,45,127
113,225,249,248
71,54,88,181
122,252,249,248
83,94,71,56
134,138,249,248
77,48,7,69
125,252,249,248
80,54,12,132
100,252,249,248
77,70,104,88
80,55,12,123
97,252,249,248
75,51,68,172
250,252,249,248
121,251,249,248
50,94,249,248
134,163,249,248
56,90,161,154
73,81,118,73
63,79,109,63
98,98,139,39
80,77,138,81
60,66,49,42
74,75,177,111
76,79,81,52
72,93,94,104
69,79,101,73
70,90,112,76
74,120,249,248
66,83,105,87
87,65,72,37
125,143,249,248
77,59,112,88
64,75,109,84
73,45,46,135
218,199,249,248
74,75,105,66
68,79,83,41
69,54,151,57
70,74,91,76
61,92,114,114
59,83,65,62
45,83,116,108
37,54,136,120
46,53,148,107
114,84,152,37
77,69,104,55
128,117,156,41
76,71,120,84
69,78,106,96
70,89,89,94
98,71,111,75
59,86,147,121
86,77,249,84
120,64,115,55
83,72,111,92
93,70,97,50
64,102,165,66
87,64,77,48
82,83,89,58
57,76,69,43
100,82,92,53
66,81,98,55
51,86,125,71
75,78,86,76
76,71,90,65
117,84,183,41
83,89,141,75
64,94,126,88
79,62,119,78
89,43,106,55
69,90,146,141
45,94,97,86
115,90,121,36
130,90,223,37
82,69,97,86
70,73,99,61
63,47,186,67
49,82,112,145
74,73,100,44
78,85,115,82
67,80,91,76
72,85,106,76
64,83,122,140
77,67,114,85
69,77,151,80
73,81,123,54
66,73,102,78
104,84,89,85
75,91,147,98
76,59,121,103
131,79,174,67
108,84,159,38
81,88,88,69
69,67,64,40
126,92,147,37
90,61,100,44
90,57,116,56
81,78,97,42
114,79,131,79
60,66,122,124
22,61,249,248
56,66,86,53
90,64,105,47
77,73,114,75
